name,description,price,photo_url,type
KIVIK Sofa with chaise,Sofa with chaise,"1,299",https://www.ikea.com/us/en/images/products/kivik-sofa-with-chaise-tresund-light-beige__1124123_pe875030_s5.jpg?f=xxs, Sofa
LINANaS Sofa,Sofa,399,https://www.ikea.com/us/en/images/products/linanaes-sofa-with-chaise-vissle-dark-gray__1013908_pe829460_s5.jpg?f=xxs, Sofa
MORABO Sleeper sofa,Sleeper sofa,"1,699",https://www.ikea.com/us/en/images/products/morabo-sleeper-sofa-grann-bomstad-golden-brown-wood__1170151_pe892700_s5.jpg?f=xxs, Sofa
UPPLAND Sofa,Sofa,849,https://www.ikea.com/us/en/images/products/uppland-sofa-blekinge-white__0818565_pe774487_s5.jpg?f=xxs, Sofa
"FRIHETEN Sleeper sectional,3 seat w/storage","Sleeper sectional,3 seat w/storage",899,https://www.ikea.com/us/en/images/products/friheten-sleeper-sectional-3-seat-w-storage-skiftebo-dark-gray__0175610_pe328883_s5.jpg?f=xxs, Sofa
LINANaS Sofa,Sofa,299,https://www.ikea.com/us/en/images/products/linanaes-sofa-vissle-dark-gray__1013898_pe829450_s5.jpg?f=xxs, Sofa
MORABO Sofa,Sofa,699,https://www.ikea.com/us/en/images/products/morabo-sofa-gunnared-dark-gray-wood__0602117_pe680186_s5.jpg?f=xxs, Sofa
KIVIK Sofa,Sofa,749,https://www.ikea.com/us/en/images/products/kivik-sofa-tibbleby-beige-gray__1056144_pe848277_s5.jpg?f=xxs, Sofa
"KIVIK Sectional, 5-seat corner","Sectional, 5-seat corner","1,449",https://www.ikea.com/us/en/images/products/kivik-sectional-5-seat-corner-tibbleby-beige-gray__1056106_pe848241_s5.jpg?f=xxs, Sofa
HYLTARP Sofa,Sofa,"1,049",https://www.ikea.com/us/en/images/products/hyltarp-sofa-gransel-natural__1193814_pe901641_s5.jpg?f=xxs, Sofa
FINNALA Sofa,Sofa,"1,599",https://www.ikea.com/us/en/images/products/finnala-sofa-with-chaise-gunnared-beige__0514360_pe639436_s5.jpg?f=xxs, Sofa
GLOSTAD Loveseat,Loveseat,149,https://www.ikea.com/us/en/images/products/glostad-loveseat-knisa-dark-gray__0950864_pe800736_s5.jpg?f=xxs, Sofa
MORABO Sofa,Sofa,"1,249",https://www.ikea.com/us/en/images/products/morabo-sofa-grann-bomstad-golden-brown-wood__0602112_pe680181_s5.jpg?f=xxs, Sofa
MORABO Sleeper sofa,Sleeper sofa,"1,699",https://www.ikea.com/us/en/images/products/morabo-sleeper-sofa-grann-bomstad-golden-brown-wood__1170151_pe892700_s5.jpg?f=xxs, Sofa
KLIPPAN Loveseat,Loveseat,399,https://www.ikea.com/us/en/images/products/klippan-loveseat-bomstad-black__0562963_pe663653_s5.jpg?f=xxs, Sofa
MORABO Loveseat,Loveseat,"1,199",https://www.ikea.com/us/en/images/products/morabo-loveseat-grann-bomstad-dark-beige-wood__0609047_pe684289_s5.jpg?f=xxs, Sofa
MORABO Sofa,Sofa,"1,849",https://www.ikea.com/us/en/images/products/morabo-sofa-with-chaise-grann-bomstad-golden-brown-wood__0602358_pe680291_s5.jpg?f=xxs, Sofa
FRIHETEN Sleeper sofa,Sleeper sofa,899,https://www.ikea.com/us/en/images/products/friheten-sleeper-sofa-bomstad-black__0325717_pe523061_s5.jpg?f=xxs, Sofa
"MORABO Sectional, 4-seat","Sectional, 4-seat","1,899",https://www.ikea.com/us/en/images/products/morabo-sectional-4-seat-with-chaise-grann-bomstad-black-metal__0320981_pe514792_s5.jpg?f=xxs, Sofa
FINNALA Sofa,Sofa,"1,599",https://www.ikea.com/us/en/images/products/finnala-sofa-grann-bomstad-black__0817362_pe773988_s5.jpg?f=xxs, Sofa
VISKAFORS Sofa,Sofa,"1,899",https://www.ikea.com/us/en/images/products/viskafors-sofa-hoegalid-brown-brown__1088070_pe861045_s5.jpg?f=xxs, Sofa
STOCKHOLM Sofa,Sofa,"2,499",https://www.ikea.com/us/en/images/products/stockholm-sofa-seglora-natural__0183763_pe334809_s5.jpg?f=xxs, Sofa
KIVIK Sofa,Sofa,"1,199",https://www.ikea.com/us/en/images/products/kivik-sofa-grann-bomstad-black__0137863_pe296632_s5.jpg?f=xxs, Sofa
"MORABO Sectional, 5-seat corner","Sectional, 5-seat corner","2,199",https://www.ikea.com/us/en/images/products/morabo-sectional-5-seat-corner-grann-bomstad-golden-brown-wood__0602458_pe680369_s5.jpg?f=xxs, Sofa
KIVIK Sofa,Sofa,"1,799",https://www.ikea.com/us/en/images/products/kivik-sofa-with-chaise-grann-bomstad-black__0124784_pe281696_s5.jpg?f=xxs, Sofa
FINNALA Sofa,Sofa,"1,699",https://www.ikea.com/us/en/images/products/finnala-sofa-with-headrest-grann-bomstad-golden-brown__0817213_pe773907_s5.jpg?f=xxs, Sofa
"MORABO Sectional, 5-seat","Sectional, 5-seat","2,849",https://www.ikea.com/us/en/images/products/morabo-sectional-5-seat-with-chaise-grann-bomstad-golden-brown-wood__0602478_pe680388_s5.jpg?f=xxs, Sofa
MORABO 5-seat sofa with chaises,5-seat sofa with chaises,"2,549",https://www.ikea.com/us/en/images/products/morabo-5-seat-sofa-with-chaises-grann-bomstad-golden-brown-wood__0602489_pe680398_s5.jpg?f=xxs, Sofa
VISKAFORS Loveseat,Loveseat,"1,699",https://www.ikea.com/us/en/images/products/viskafors-loveseat-hoegalid-brown-brown__1088061_pe861036_s5.jpg?f=xxs, Sofa
FINNALA Sleeper sofa,Sleeper sofa,"2,749",https://www.ikea.com/us/en/images/products/finnala-sleeper-sofa-with-chaise-grann-bomstad-golden-brown__0817409_pe774009_s5.jpg?f=xxs, Sofa
FINNALA Loveseat,Loveseat,"1,499",https://www.ikea.com/us/en/images/products/finnala-loveseat-grann-bomstad-golden-brown__0817323_pe773958_s5.jpg?f=xxs, Sofa
KIVIK Loveseat,Loveseat,"1,049",https://www.ikea.com/us/en/images/products/kivik-loveseat-grann-bomstad-black__0115161_pe268373_s5.jpg?f=xxs, Sofa
