name,description,price,photo_url
KIVIK Sofa with chaise,Sofa with chaise,"1,299",https://www.ikea.com/us/en/images/products/kivik-sofa-with-chaise-tresund-light-beige__1124123_pe875030_s5.jpg?f=xxs
LINANÄS Sofa,Sofa,399,https://www.ikea.com/us/en/images/products/linanaes-sofa-with-chaise-vissle-dark-gray__1013908_pe829460_s5.jpg?f=xxs
MORABO Sleeper sofa,Sleeper sofa,"1,699",https://www.ikea.com/us/en/images/products/morabo-sleeper-sofa-grann-bomstad-golden-brown-wood__1170151_pe892700_s5.jpg?f=xxs
UPPLAND Sofa,Sofa,849,https://www.ikea.com/us/en/images/products/uppland-sofa-blekinge-white__0818565_pe774487_s5.jpg?f=xxs
"FRIHETEN Sleeper sectional,3 seat w/storage","Sleeper sectional,3 seat w/storage",899,https://www.ikea.com/us/en/images/products/friheten-sleeper-sectional-3-seat-w-storage-skiftebo-dark-gray__0175610_pe328883_s5.jpg?f=xxs
LINANÄS Sofa,Sofa,299,https://www.ikea.com/us/en/images/products/linanaes-sofa-vissle-dark-gray__1013898_pe829450_s5.jpg?f=xxs
MORABO Sofa,Sofa,699,https://www.ikea.com/us/en/images/products/morabo-sofa-gunnared-dark-gray-wood__0602117_pe680186_s5.jpg?f=xxs
KIVIK Sofa,Sofa,749,https://www.ikea.com/us/en/images/products/kivik-sofa-tibbleby-beige-gray__1056144_pe848277_s5.jpg?f=xxs
"KIVIK Sectional, 5-seat corner","Sectional, 5-seat corner","1,449",https://www.ikea.com/us/en/images/products/kivik-sectional-5-seat-corner-tibbleby-beige-gray__1056106_pe848241_s5.jpg?f=xxs
HYLTARP Sofa,Sofa,"1,049",https://www.ikea.com/us/en/images/products/hyltarp-sofa-gransel-natural__1193814_pe901641_s5.jpg?f=xxs
FINNALA Sofa,Sofa,"1,599",https://www.ikea.com/us/en/images/products/finnala-sofa-with-chaise-gunnared-beige__0514360_pe639436_s5.jpg?f=xxs
GLOSTAD Loveseat,Loveseat,149,https://www.ikea.com/us/en/images/products/glostad-loveseat-knisa-dark-gray__0950864_pe800736_s5.jpg?f=xxs
KIVIK Sofa with chaise,Sofa with chaise,"1,299",https://www.ikea.com/us/en/images/products/kivik-sofa-with-chaise-tresund-light-beige__1124123_pe875030_s5.jpg?f=xxs
LINANÄS Sofa,Sofa,399,https://www.ikea.com/us/en/images/products/linanaes-sofa-with-chaise-vissle-dark-gray__1013908_pe829460_s5.jpg?f=xxs
MORABO Sleeper sofa,Sleeper sofa,"1,699",https://www.ikea.com/us/en/images/products/morabo-sleeper-sofa-grann-bomstad-golden-brown-wood__1170151_pe892700_s5.jpg?f=xxs
UPPLAND Sofa,Sofa,849,https://www.ikea.com/us/en/images/products/uppland-sofa-blekinge-white__0818565_pe774487_s5.jpg?f=xxs
"FRIHETEN Sleeper sectional,3 seat w/storage","Sleeper sectional,3 seat w/storage",899,https://www.ikea.com/us/en/images/products/friheten-sleeper-sectional-3-seat-w-storage-skiftebo-dark-gray__0175610_pe328883_s5.jpg?f=xxs
LINANÄS Sofa,Sofa,299,https://www.ikea.com/us/en/images/products/linanaes-sofa-vissle-dark-gray__1013898_pe829450_s5.jpg?f=xxs
MORABO Sofa,Sofa,699,https://www.ikea.com/us/en/images/products/morabo-sofa-gunnared-dark-gray-wood__0602117_pe680186_s5.jpg?f=xxs
KIVIK Sofa,Sofa,749,https://www.ikea.com/us/en/images/products/kivik-sofa-tibbleby-beige-gray__1056144_pe848277_s5.jpg?f=xxs
